timestamp_s,x,y,z,qx,qy,qz,qw
1773244211.912162,0.000005,-0.000033,0.139796,-0.001126,0.000001,0.000078,0.999999
1773244211.939201,0.000045,-0.000057,0.139804,-0.000743,0.000029,0.000056,1.000000
1773244211.972495,0.000050,-0.000037,0.139646,-0.001092,0.000007,0.000076,0.999999
1773244212.007119,0.000058,-0.000018,0.139669,-0.001027,0.000033,0.000079,0.999999
1773244212.039244,-0.000009,-0.000032,0.139756,-0.001463,0.000010,0.000105,0.999999
1773244212.072960,0.000057,-0.000030,0.139838,-0.001074,0.000040,0.000082,0.999999
1773244212.107484,0.000022,-0.000047,0.139637,-0.001300,0.000025,0.000096,0.999999
1773244212.139193,0.000046,-0.000031,0.139639,-0.001619,0.000009,0.000113,0.999999
1773244212.172766,0.000067,-0.000086,0.139687,-0.001883,0.000004,0.000131,0.999998
1773244212.207886,0.000075,-0.000085,0.139896,-0.001859,0.000017,0.000131,0.999998
1773244212.239187,0.000075,-0.000085,0.139896,-0.001859,0.000017,0.000131,0.999998
1773244212.272542,0.000078,-0.000054,0.139392,-0.001369,-0.000008,0.000090,0.999999
1773244212.307267,0.000078,-0.000054,0.139392,-0.001369,-0.000008,0.000090,0.999999
1773244212.339215,0.000121,-0.000056,0.139818,-0.001837,-0.000024,0.000124,0.999998
1773244212.375272,0.000008,-0.000054,0.139779,-0.001695,-0.000022,0.000111,0.999999
1773244212.407002,0.000047,0.000010,0.139710,-0.002216,-0.000026,0.000148,0.999998
1773244212.439665,0.000047,0.000010,0.139710,-0.002216,-0.000026,0.000148,0.999998
1773244212.473513,0.000055,-0.000026,0.139451,-0.002633,-0.000003,0.000181,0.999997
1773244212.506816,0.000055,-0.000026,0.139451,-0.002633,-0.000003,0.000181,0.999997
1773244212.539350,0.000008,-0.000074,0.139370,-0.002568,0.000012,0.000181,0.999997
1773244212.572613,0.000008,-0.000074,0.139370,-0.002568,0.000012,0.000181,0.999997
1773244212.606646,0.000073,-0.000051,0.139690,-0.002985,0.000006,0.000205,0.999996
1773244212.639901,0.000073,-0.000051,0.139690,-0.002985,0.000006,0.000205,0.999996
1773244212.672520,0.000023,-0.000065,0.139684,-0.003010,0.000036,0.000213,0.999995
1773244212.713826,-0.000036,-0.000084,0.139863,-0.003878,-0.000019,0.000262,0.999992
1773244212.739140,0.000047,-0.000049,0.139661,-0.004056,-0.000010,0.000277,0.999992
1773244212.772878,0.000066,-0.000105,0.139700,-0.004400,-0.000027,0.000299,0.999990
1773244212.807466,0.000019,-0.000118,0.139611,-0.004748,-0.000020,0.000326,0.999989
1773244212.839630,0.000074,-0.000112,0.139660,-0.004796,0.000006,0.000338,0.999988
1773244212.873040,0.000009,-0.000089,0.139693,-0.004650,0.000002,0.000328,0.999989
1773244212.907282,0.000009,-0.000089,0.139693,-0.004650,0.000002,0.000328,0.999989
1773244212.939201,0.000026,-0.000086,0.139734,-0.004615,0.000014,0.000329,0.999989
1773244212.972485,0.000013,-0.000057,0.139676,-0.004972,-0.000006,0.000349,0.999988
1773244213.007372,0.000011,-0.000096,0.139424,-0.004878,0.000006,0.000348,0.999988
1773244213.039141,0.000068,-0.000075,0.139612,-0.004866,-0.000016,0.000341,0.999988
1773244213.072452,0.000007,-0.000091,0.139813,-0.005449,-0.000043,0.000376,0.999985
1773244213.107898,0.000064,-0.000114,0.139669,-0.007129,-0.000070,0.000493,0.999974
1773244213.139530,-0.000005,-0.000109,0.139628,-0.007690,-0.000062,0.000539,0.999970
1773244213.172477,-0.000005,-0.000109,0.139628,-0.007690,-0.000062,0.000539,0.999970
1773244213.207764,-0.000043,-0.000124,0.139685,-0.007688,-0.000045,0.000541,0.999970
1773244213.239372,0.000082,-0.000139,0.139681,-0.007832,-0.000050,0.000548,0.999969
1773244213.272339,0.000095,-0.000135,0.139650,-0.007130,-0.000031,0.000503,0.999974
1773244213.307225,0.000020,-0.000054,0.139783,-0.007069,-0.000027,0.000499,0.999975
1773244213.339765,0.000020,-0.000131,0.139707,-0.006513,-0.000011,0.000464,0.999979
1773244213.372682,0.000020,-0.000131,0.139707,-0.006513,-0.000011,0.000464,0.999979
1773244213.408420,-0.000062,-0.000086,0.139673,-0.006968,-0.000011,0.000493,0.999976
1773244213.439623,0.000044,-0.000107,0.139398,-0.006671,-0.000026,0.000470,0.999978
1773244213.472489,0.000009,-0.000107,0.139693,-0.006288,0.000046,0.000458,0.999980
1773244213.507208,-0.000060,-0.000052,0.139611,-0.006478,0.000037,0.000469,0.999979
1773244213.539333,0.000027,-0.000081,0.139739,-0.006218,0.000027,0.000448,0.999981
1773244213.572518,0.000039,-0.000140,0.139680,-0.005553,0.000048,0.000407,0.999984
1773244213.607213,0.000056,-0.000064,0.139725,-0.005355,0.000046,0.000391,0.999986
1773244213.639140,-0.000093,-0.000056,0.139794,-0.005248,0.000047,0.000384,0.999986
1773244213.672469,0.000025,-0.000070,0.139602,-0.004977,0.000020,0.000356,0.999988
1773244213.707268,0.000080,-0.000042,0.139742,-0.004359,0.000025,0.000314,0.999990
1773244213.739906,0.000022,-0.000119,0.139662,-0.004313,0.000029,0.000311,0.999991
1773244213.773420,0.000064,-0.000034,0.139709,-0.003410,0.000050,0.000252,0.999994
1773244213.807220,0.000064,-0.000034,0.139709,-0.003410,0.000050,0.000252,0.999994
1773244213.839607,-0.000050,-0.000061,0.139692,-0.003227,0.000031,0.000236,0.999995
1773244213.872538,-0.000050,-0.000061,0.139692,-0.003227,0.000031,0.000236,0.999995
1773244213.906706,0.000009,-0.000074,0.139615,-0.003195,0.000011,0.000229,0.999995
1773244213.939142,0.000009,-0.000074,0.139615,-0.003195,0.000011,0.000229,0.999995
1773244213.972456,0.000067,-0.000056,0.139726,-0.003048,-0.000000,0.000214,0.999995
1773244214.006278,0.000051,-0.000058,0.139688,-0.002609,0.000016,0.000188,0.999997
1773244214.039133,0.000051,-0.000058,0.139688,-0.002609,0.000016,0.000188,0.999997
1773244214.072501,0.000027,-0.000036,0.139660,-0.002646,-0.000004,0.000182,0.999996
1773244214.110664,-0.000003,-0.000066,0.139679,-0.003237,-0.000015,0.000221,0.999995
1773244214.139165,-0.000012,-0.000033,0.139581,-0.002909,-0.000023,0.000195,0.999996
1773244214.172971,0.000002,-0.000070,0.139703,-0.003437,-0.000020,0.000233,0.999994
1773244214.207022,0.000002,-0.000070,0.139703,-0.003437,-0.000020,0.000233,0.999994
1773244214.239156,-0.000053,-0.000033,0.139740,-0.002994,0.000006,0.000208,0.999995
1773244214.273102,-0.000045,-0.000055,0.139691,-0.002821,-0.000001,0.000193,0.999996
1773244214.308552,-0.000045,-0.000055,0.139691,-0.002821,-0.000001,0.000193,0.999996
1773244214.339330,-0.000013,-0.000095,0.139750,-0.002650,-0.000005,0.000183,0.999996
1773244214.372437,0.000003,-0.000070,0.139613,-0.003028,-0.000002,0.000213,0.999995
1773244214.406476,0.000090,-0.000043,0.139674,-0.003018,-0.000039,0.000204,0.999995
1773244214.439548,0.000090,-0.000043,0.139674,-0.003018,-0.000039,0.000204,0.999995
